,Date,Open
187,2020-11-09,15479.595703
188,2020-11-10,15332.350586
189,2020-11-11,15290.90918
190,2020-11-12,15701.298828
191,2020-11-13,16276.44043
192,2020-11-14,16317.808594
193,2020-11-15,16068.139648
194,2020-11-16,15955.577148
195,2020-11-17,16685.691406
196,2020-11-18,17645.191406
197,2020-11-19,17803.861328
198,2020-11-20,17817.083984
199,2020-11-21,18621.316406
200,2020-11-22,18642.232422
201,2020-11-23,18370.017578
202,2020-11-24,18365.015625
203,2020-11-25,19104.410156
204,2020-11-26,18729.839844
205,2020-11-27,17153.914063
206,2020-11-28,17112.933594
207,2020-11-29,17719.634766
208,2020-11-30,18178.322266
209,2020-12-01,19633.769531
210,2020-12-02,18801.744141
211,2020-12-03,19205.925781
212,2020-12-04,19446.966797
213,2020-12-05,18698.384766
214,2020-12-06,19154.179688
215,2020-12-07,19343.128906
216,2020-12-08,19191.529297
217,2020-12-09,18320.884766
218,2020-12-10,18553.298828
219,2020-12-11,18263.929688
220,2020-12-12,18051.320313
221,2020-12-13,18806.765625
222,2020-12-14,19144.492188
223,2020-12-15,19246.919922
224,2020-12-16,19418.818359
225,2020-12-17,21308.351563
226,2020-12-18,22806.796875
227,2020-12-19,23132.865234
228,2020-12-20,23861.765625
229,2020-12-21,23474.455078
230,2020-12-22,22794.039063
231,2020-12-23,23781.974609
232,2020-12-24,23240.203125
233,2020-12-25,23733.570313
234,2020-12-26,24677.015625
235,2020-12-27,26439.373047
236,2020-12-28,26280.822266
237,2020-12-29,27081.810547
238,2020-12-30,27360.089844
239,2020-12-31,28841.574219
240,2021-01-01,28994.009766
241,2021-01-02,29376.455078
242,2021-01-03,32129.408203
243,2021-01-04,32810.949219
244,2021-01-05,31977.041016
245,2021-01-06,34013.613281
246,2021-01-07,36833.875
247,2021-01-08,39381.765625
248,2021-01-09,40788.640625
249,2021-01-10,40254.21875
250,2021-01-11,38346.53125
251,2021-01-12,35516.359375
252,2021-01-13,33915.121094
253,2021-01-14,37325.109375
254,2021-01-15,39156.707031
255,2021-01-16,36821.648438
256,2021-01-17,36163.648438
257,2021-01-18,35792.238281
258,2021-01-19,36642.234375
259,2021-01-20,36050.113281
260,2021-01-21,35549.398438
261,2021-01-22,30817.625
262,2021-01-23,32985.757813
263,2021-01-24,32064.376953
264,2021-01-25,32285.798828
265,2021-01-26,32358.613281
266,2021-01-27,32564.029297
267,2021-01-28,30441.041016
268,2021-01-29,34318.671875
269,2021-01-30,34295.933594
270,2021-01-31,34270.878906
271,2021-02-01,33114.578125
272,2021-02-02,33533.199219
273,2021-02-03,35510.820313
274,2021-02-04,37475.105469
275,2021-02-05,36931.546875
276,2021-02-06,38138.386719
277,2021-02-07,39250.191406
278,2021-02-08,38886.828125
279,2021-02-09,46184.992188
280,2021-02-10,46469.761719
281,2021-02-11,44898.710938
282,2021-02-12,47877.035156
283,2021-02-13,47491.203125
284,2021-02-14,47114.507813
285,2021-02-15,48696.535156
286,2021-02-16,47944.457031
287,2021-02-17,49207.277344
288,2021-02-18,52140.972656
289,2021-02-19,51675.980469
290,2021-02-20,55887.335938
291,2021-02-21,56068.566406
292,2021-02-22,57532.738281
293,2021-02-23,54204.929688
294,2021-02-24,48835.085938
295,2021-02-25,49709.082031
296,2021-02-26,47180.464844
297,2021-02-27,46344.773438
298,2021-02-28,46194.015625
299,2021-03-01,45159.503906
300,2021-03-02,49612.105469
301,2021-03-03,48415.816406
302,2021-03-04,50522.304688
303,2021-03-05,48527.03125
